,DateTime,Close,High,Low,Volume,Bid Price,Ask Price
217,2023-02-02 12:37:00,147.45,147.7,147.45,3125,147.54,147.54
218,2023-02-02 12:38:00,147.54,147.54,147.4,1315,147.58,147.58
219,2023-02-02 12:39:00,147.5,147.54,147.5,4398,147.53,147.53
220,2023-02-02 12:40:00,147.5,147.5,147.5,0,147.5,147.5
221,2023-02-02 12:41:00,147.42,147.47,147.4,1632,147.39,147.39
222,2023-02-02 12:42:00,147.26,147.38,147.26,13600,147.36,147.36
223,2023-02-02 12:43:00,147.41,147.41,147.3,595,147.43,147.43
224,2023-02-02 12:44:00,147.46,147.46,147.46,100,147.55,147.55
225,2023-02-02 12:45:00,147.5,147.58,147.5,692,147.49,147.49
226,2023-02-02 12:46:00,147.49,147.49,147.49,350,147.49,147.49
227,2023-02-02 12:47:00,147.46,147.55,147.46,700,147.45,147.45
228,2023-02-02 12:48:00,147.4,147.41,147.4,800,147.39,147.39
229,2023-02-02 12:49:00,147.25,147.33,147.25,4579,147.3,147.3
230,2023-02-02 12:50:00,147.25,147.25,147.25,0,147.3,147.3
231,2023-02-02 12:51:00,147.25,147.25,147.25,0,147.3,147.3
232,2023-02-02 12:52:00,147.47,147.47,147.44,211,147.47,147.47
233,2023-02-02 12:53:00,147.47,147.47,147.47,0,147.44,147.44
234,2023-02-02 12:54:00,147.45,147.45,147.4,1410,147.45,147.45
235,2023-02-02 12:55:00,147.6,147.6,147.44,1532,147.59,147.59
236,2023-02-02 12:56:00,147.55,147.6,147.55,676,147.57,147.57
237,2023-02-02 12:57:00,147.62,147.62,147.58,2333,147.58,147.58
238,2023-02-02 12:58:00,147.6,147.61,147.58,600,147.64,147.64
239,2023-02-02 12:59:00,147.69,147.69,147.66,486,147.69,147.69
240,2023-02-02 13:00:00,147.58,147.66,147.58,605,147.59,147.59
241,2023-02-02 13:01:00,147.48,147.5,147.48,400,147.5,147.5
242,2023-02-02 13:02:00,147.31,147.43,147.31,600,147.36,147.36
243,2023-02-02 13:03:00,147.31,147.31,147.31,0,147.39,147.39
244,2023-02-02 13:04:00,147.36,147.37,147.36,1180,147.37,147.37
245,2023-02-02 13:05:00,147.37,147.4,147.35,4405,147.39,147.39
246,2023-02-02 13:06:00,147.43,147.45,147.34,2134,147.44,147.44
247,2023-02-02 13:07:00,147.4,147.41,147.36,1341,147.44,147.44
248,2023-02-02 13:08:00,147.36,147.4,147.36,650,147.39,147.39
249,2023-02-02 13:09:00,147.36,147.36,147.36,0,147.44,147.44
250,2023-02-02 13:10:00,147.44,147.44,147.44,300,147.45,147.45
251,2023-02-02 13:11:00,147.4,147.45,147.4,783,147.4,147.4
252,2023-02-02 13:12:00,147.4,147.4,147.4,765,147.41,147.41
253,2023-02-02 13:13:00,147.4,147.43,147.4,750,147.43,147.43
254,2023-02-02 13:14:00,147.4,147.4,147.39,1484,147.42,147.42
255,2023-02-02 13:15:00,147.36,147.43,147.35,1800,147.39,147.39
256,2023-02-02 13:16:00,147.49,147.49,147.39,500,147.5,147.5
257,2023-02-02 13:17:00,147.5,147.5,147.5,100,147.53,147.53
258,2023-02-02 13:18:00,147.55,147.55,147.5,908,147.57,147.57
259,2023-02-02 13:19:00,147.58,147.58,147.55,1149,147.6,147.6
260,2023-02-02 13:20:00,147.59,147.59,147.55,630,147.6,147.6
261,2023-02-02 13:21:00,147.55,147.6,147.55,582,147.58,147.58
262,2023-02-02 13:22:00,147.66,147.7,147.64,1300,147.65,147.65
263,2023-02-02 13:23:00,147.66,147.68,147.63,1120,147.71,147.71
264,2023-02-02 13:24:00,147.76,147.8,147.7,3032,147.79,147.79
265,2023-02-02 13:25:00,147.7,147.71,147.68,4494,147.73,147.73
266,2023-02-02 13:26:00,147.7,147.7,147.7,0,147.73,147.73
267,2023-02-02 13:27:00,147.66,147.7,147.66,841,147.68,147.68
268,2023-02-02 13:28:00,147.68,147.68,147.65,400,147.71,147.71
269,2023-02-02 13:29:00,147.68,147.68,147.68,0,147.74,147.74
270,2023-02-02 13:30:00,147.85,147.85,147.7,3681,147.81,147.81
271,2023-02-02 13:31:00,147.77,147.77,147.7,1150,147.81,147.81
272,2023-02-02 13:32:00,147.64,147.8,147.64,3249,147.75,147.75
273,2023-02-02 13:33:00,147.7,147.7,147.67,1199,147.75,147.75
274,2023-02-02 13:34:00,147.71,147.71,147.71,100,147.69,147.69
275,2023-02-02 13:35:00,147.5,147.65,147.5,2904,147.51,147.51
276,2023-02-02 13:36:00,147.48,147.51,147.48,300,147.5,147.5
277,2023-02-02 13:37:00,147.5,147.5,147.5,150,147.57,147.57
278,2023-02-02 13:38:00,147.5,147.5,147.5,0,147.55,147.55
279,2023-02-02 13:39:00,147.52,147.57,147.52,3590,147.55,147.55
280,2023-02-02 13:40:00,147.51,147.54,147.51,400,147.48,147.48
281,2023-02-02 13:41:00,147.52,147.52,147.5,580,147.55,147.55
282,2023-02-02 13:42:00,147.53,147.55,147.53,600,147.59,147.59
283,2023-02-02 13:43:00,147.63,147.63,147.59,906,147.64,147.64
284,2023-02-02 13:44:00,147.57,147.59,147.57,200,147.6,147.6
285,2023-02-02 13:45:00,147.64,147.64,147.63,4311,147.62,147.62
286,2023-02-02 13:46:00,147.59,147.59,147.59,100,147.65,147.65
287,2023-02-02 13:47:00,147.79,147.79,147.62,1946,147.8,147.8
288,2023-02-02 13:48:00,147.79,147.79,147.79,0,147.78,147.78
289,2023-02-02 13:49:00,147.87,147.87,147.78,2384,147.89,147.89
290,2023-02-02 13:50:00,147.9,147.91,147.85,1800,147.98,147.98
291,2023-02-02 13:51:00,147.8,147.86,147.8,666,147.81,147.81
292,2023-02-02 13:52:00,147.79,147.79,147.74,3335,147.85,147.85
293,2023-02-02 13:53:00,147.92,147.98,147.79,3949,147.94,147.94
294,2023-02-02 13:54:00,147.95,147.97,147.95,4069,147.96,147.96
295,2023-02-02 13:55:00,148.14,148.18,147.98,7486,148.19,148.19
296,2023-02-02 13:56:00,148.24,148.24,148.17,2900,148.28,148.28
297,2023-02-02 13:57:00,148.24,148.35,148.24,8144,148.23,148.23
298,2023-02-02 13:58:00,148.3,148.35,148.2,10212,148.31,148.31
299,2023-02-02 13:59:00,148.34,148.38,148.28,5370,148.33,148.33
300,2023-02-02 14:00:00,148.2,148.3,148.2,3088,148.24,148.24
301,2023-02-02 14:01:00,148.42,148.42,148.21,6384,148.43,148.43
302,2023-02-02 14:02:00,148.39,148.43,148.38,4952,148.39,148.39
303,2023-02-02 14:03:00,148.41,148.43,148.39,1307,148.43,148.43
304,2023-02-02 14:04:00,148.44,148.45,148.43,2145,148.46,148.46
305,2023-02-02 14:05:00,148.41,148.45,148.41,1275,148.41,148.41
306,2023-02-02 14:06:00,148.28,148.39,148.25,3152,148.31,148.31
307,2023-02-02 14:07:00,148.55,148.55,148.33,3809,148.56,148.56
308,2023-02-02 14:08:00,148.47,148.57,148.47,2000,148.47,148.47
309,2023-02-02 14:09:00,148.22,148.46,148.22,2127,148.26,148.26
310,2023-02-02 14:10:00,148.2,148.24,148.18,1319,148.22,148.22
311,2023-02-02 14:11:00,148.12,148.18,148.12,1202,148.12,148.12
312,2023-02-02 14:12:00,148.09,148.11,148.09,1236,148.11,148.11
313,2023-02-02 14:13:00,148.16,148.17,148.08,1000,148.18,148.18
314,2023-02-02 14:14:00,148.21,148.22,148.19,400,148.25,148.25
315,2023-02-02 14:15:00,148.18,148.25,148.18,500,148.19,148.19
316,2023-02-02 14:16:00,148.12,148.12,148.12,675,148.14,148.14
317,2023-02-02 14:17:00,148.16,148.17,148.15,700,148.16,148.16
318,2023-02-02 14:18:00,148.09,148.17,148.09,650,148.12,148.12
319,2023-02-02 14:19:00,148.19,148.19,148.15,900,148.19,148.19
320,2023-02-02 14:20:00,148.16,148.16,148.15,400,148.18,148.18
321,2023-02-02 14:21:00,148.16,148.16,148.16,100,148.19,148.19
